inst	m	l	greedy	grasp	ag
93	500	100	2814633	2653572	2653543
94	500	100	2773404	2643832	2643836
95	500	100	2805768	2651501	2651501
96	500	100	2812457	2647525	2647525
97	500	100	2809599	2659243	2659243
98	500	100	2805034	2660011	2660011
99	500	100	2794314	2654298	2654258
0	1000	100	5641367	5420071	5420050
1	1000	100	5579008	5397844	5397786
2	1000	100	5591678	5381389	5381389
3	1000	100	5565367	5394349	5394349
4	1000	100	5625059	5380786	5380786
5	1000	100	5634630	5410133	5410133
6	1000	100	5608404	5381011	5381011
7	1000	100	5570845	5401281	5401281
8	1000	100	5619752	5405473	5405473
9	1000	100	5633353	5412807	5412737
10	1000	100	5663612	5397454	5397324
11	1000	100	5616079	5394958	5394958
12	1000	100	5600642	5404663	5404663
13	1000	100	5630568	5408723	5408723
14	1000	100	5629481	5374849	5374849
15	1000	100	5604331	5394251	5394251
16	1000	100	5621889	5405892	5405875
17	1000	100	5609056	5406332	5406332
18	1000	100	5633673	5407950	5407950
19	1000	100	5611068	5364998	5365017
20	1000	100	5596909	5409599	5409599
21	1000	100	5635927	5394165	5394165
22	1000	100	5600768	5401305	5401305
23	1000	100	5636445	5395071	5395071
24	1000	100	5626129	5398349	5398252
25	1000	100	5602873	5392396	5392396
26	1000	100	5597501	5404784	5404784
27	1000	100	5646487	5407345	5407345
28	1000	100	5605901	5393044	5393044
29	1000	100	5642648	5379689	5379689
30	1000	100	5642315	5385312	5385523
31	1000	100	5642766	5388785	5388785
32	1000	100	5634788	5417878	5417870
33	1000	100	5644252	5419580	5419498
34	1000	100	5657964	5398305	5398251
35	1000	100	5624680	5388866	5388866
36	1000	100	5564634	5384094	5384094
37	1000	100	5669522	5401600	5401470
38	1000	100	5636805	5410612	5410612
39	1000	100	5586844	5384550	5384550
40	1000	100	5619310	5411610	5411586
41	1000	100	5608383	5393282	5393282
42	1000	100	5603966	5393537	5393537
43	1000	100	5610655	5406659	5406482
44	1000	100	5590286	5416957	5416957
45	1000	100	5656179	5408455	5408455
46	1000	100	5610778	5393719	5393592
47	1000	100	5598255	5393224	5393224
48	1000	100	5604449	5405250	5405250
49	1000	100	5667841	5396135	5396135
50	1000	100	5602483	5409315	5409219
51	1000	100	5618930	5391095	5391095
52	1000	100	5613203	5389902	5389902
53	1000	100	5643181	5412332	5412300
54	1000	100	5635124	5414573	5414556
55	1000	100	5641978	5387400	5387316
56	1000	100	5567902	5382418	5382397
57	1000	100	5636818	5383012	5383012
58	1000	100	5614193	5398516	5398516
59	1000	100	5612921	5405150	5405080
60	1000	100	5628783	5392634	5392634
61	1000	100	5633340	5404925	5404925
62	1000	100	5649904	5406326	5406326
63	1000	100	5644190	5382189	5382189
64	1000	100	5631143	5424173	5424113
65	1000	100	5632012	5409666	5409666
66	1000	100	5601192	5413805	5413805
67	1000	100	5631165	5419361	5419360
68	1000	100	5619100	5428715	5428705
69	1000	100	5644835	5398908	5398908
70	1000	100	5610018	5399349	5399349
71	1000	100	5626772	5399840	5399840
72	1000	100	5632971	5378299	5378299
73	1000	100	5631873	5405928	5405913
74	1000	100	5599072	5411351	5411316
75	1000	100	5609876	5413510	5413457
76	1000	100	5616623	5402686	5402686
77	1000	100	5617714	5405812	5405762
78	1000	100	5617129	5395628	5395560
79	1000	100	5648069	5423394	5423394
80	1000	100	5587591	5380126	5380086
81	1000	100	5636067	5413671	5413671
82	1000	100	5629972	5391265	5391265
83	1000	100	5632089	5394682	5394613
84	1000	100	5629450	5397736	5397736
85	1000	100	5644002	5390412	5390412
86	1000	100	5602557	5375314	5375315
87	1000	100	5597603	5390626	5390626
88	1000	100	5648995	5390888	5390859
89	1000	100	5623285	5403094	5403094
90	1000	100	5587348	5395409	5395409
91	1000	100	5617464	5404461	5404461
92	1000	100	5629371	5420426	5420426
93	1000	100	5622677	5399198	5399032
94	1000	100	5636132	5367442	5367370
95	1000	100	5597986	5415655	5415655
96	1000	100	5611500	5408727	5408727
97	1000	100	5595271	5390807	5390807
98	1000	100	5584914	5409726	5409726
99	1000	100	5632410	5400130	5400089
0	500	300	25076030	23761025	23796071
1	500	300	25160356	23806458	23883185
2	500	300	25146737	23742315	23804040
3	500	300	25101552	23791772	23839946
4	500	300	25316222	23814961	23867379
5	500	300	25073651	23775734	23818319
6	500	300	25219646	23817502	23871122
7	500	300	25218325	23775160	23821905
8	500	300	25040001	23805241	23865776
9	500	300	25202428	23820485	23869426
10	500	300	25234536	23830211	23868776
11	500	300	25179792	23848554	23907892
12	500	300	25079296	23815658	23871366
13	500	300	25023541	23719580	23752916
14	500	300	25175864	23748158	23802222
15	500	300	25117893	23769914	23813411
16	500	300	25097215	23801344	23889626
17	500	300	25265161	23830548	23880301
18	500	300	25014061	23850251	23943564
19	500	300	25266754	23809011	23869447
20	500	300	25168726	23785425	23815801
21	500	300	25111380	23804826	23847440
22	500	300	25136399	23741195	23809763
23	500	300	25068347	23758721	23810570
24	500	300	25338315	23732138	23790587
25	500	300	25184573	23761432	23837657
26	500	300	25136265	23780919	23823988
27	500	300	25082320	23747769	23796212
28	500	300	25246350	23847184	23897242
29	500	300	25171428	23771286	23858571
30	500	300	25242318	23853070	23910874
31	500	300	25079845	23874191	23925313
32	500	300	25091354	23848427	23920842
33	500	300	25226197	23837912	23893907
34	500	300	25182071	23821749	23908099
35	500	300	25210572	23793263	23854755
36	500	300	25185537	23808763	23884159
37	500	300	25325930	23771229	23819086
38	500	300	25243399	23834750	23887085
39	500	300	25217708	23840090	23873525
40	500	300	25096015	23797651	23899659
41	500	300	25056149	23828647	23906301
42	500	300	25255855	23769813	23866326
43	500	300	25210264	23776521	23845299
44	500	300	25200808	23796684	23857236
45	500	300	25245912	23761025	23802189
46	500	300	25137844	23805785	23831255
47	500	300	25277509	23841414	23887703
48	500	300	25184164	23843097	23879981
49	500	300	25225009	23820714	23868560
50	500	300	25235550	23828078	23880369
51	500	300	25190377	23792795	23843750
52	500	300	25281141	23881364	23907757
53	500	300	25150434	23794126	23826119
54	500	300	25165089	23762560	23803967
55	500	300	25149748	23687987	23716876
56	500	300	25169844	23842509	23882855
57	500	300	25163272	23784309	23821014
58	500	300	25023515	23824562	23858750
59	500	300	25202234	23815152	23857104
60	500	300	25187969	23767380	23803433
61	500	300	25225420	23847377	23894494
62	500	300	25185736	23793401	23829058
63	500	300	25082659	23789568	23824648
64	500	300	25213228	23816253	23852084
65	500	300	25286876	23779251	23812659
66	500	300	25090501	23799115	23831146
67	500	300	25161174	23810294	23842924
68	500	300	25276914	23828677	23860844
69	500	300	25325118	23828236	23857663
70	500	300	25219145	23775290	23798178
71	500	300	25179645	23720198	23751510
72	500	300	25260437	23807569	23840497
73	500	300	25141130	23740623	23782244
74	500	300	25113045	23819688	23866573
75	500	300	25146173	23732564	23785256
76	500	300	25093853	23817978	23856968
77	500	300	25174143	23796162	23828625
78	500	300	25329313	23830848	23865244
79	500	300	25231729	23750066	23785540
80	500	300	25188783	23788009	23814862
81	500	300	25211106	23739930	23771683
82	500	300	25176967	23862139	23897008
83	500	300	25157488	23836586	23880741
84	500	300	25311781	23798585	23835129
85	500	300	25168580	23762463	23783471
86	500	300	25178696	23845597	23883741
87	500	300	25230545	23795788	23826113
88	500	300	25233066	23750891	23788115
89	500	300	25142570	23807102	23839285
90	500	300	25206871	23819002	23849857
91	500	300	25140123	23766200	23799711
92	500	300	25212657	23797983	23827664
93	500	300	25148364	23854114	23892169
94	500	300	25198136	23784438	23859120
95	500	300	25018975	23870298	23901673
96	500	300	25127007	23748189	23791845
97	500	300	25273896	23838675	23899089
98	500	300	25173256	23749065	23796977
99	500	300	25147514	23781572	23811483
0	1000	300	50485551	48451917	48901073
1	1000	300	50227353	48534624	49103629
2	1000	300	50311770	48487869	48988563
3	1000	300	50357345	48525305	48989417
4	1000	300	50667622	48468822	48976232
5	1000	300	50649645	48491305	48804665
6	1000	300	50392741	48372028	48821268
7	1000	300	50217737	48520345	48943109
8	1000	300	50358181	48511039	48931759
9	1000	300	50365606	48372165	48925373
10	1000	300	50375282	48600909	49020719
11	1000	300	50498313	48481470	48947406
12	1000	300	50485562	48559058	49051079
13	1000	300	50349390	48568811	48956555
14	1000	300	50167059	48476136	48869537
15	1000	300	50569251	48517250	49002973
16	1000	300	50308024	48505293	48952880
17	1000	300	50393496	48500738	48938802
18	1000	300	50293090	48420054	48982527
19	1000	300	50599294	48631499	49115668
20	1000	300	50489701	48494856	48922706
21	1000	300	50425036	48482136	48851192
22	1000	300	50515844	48454375	48940098
23	1000	300	50414635	48512985	48984361
24	1000	300	50371958	48545429	48997027
25	1000	300	50485954	48540645	49003186
26	1000	300	50459839	48534007	48980482
27	1000	300	50526157	48487035	48954620
28	1000	300	50358245	48523930	48994700
29	1000	300	50349137	48521367	49013192
30	1000	300	50354905	48548799	49080917
31	1000	300	50509361	48563437	48942052
32	1000	300	50463068	48497065	48963281
33	1000	300	50527410	48417103	48935387
34	1000	300	50473124	48554789	49077839
35	1000	300	50455734	48500203	48946316
36	1000	300	50617319	48387780	48888571
37	1000	300	50524729	48450528	48962196
38	1000	300	50698073	48368117	48891860
39	1000	300	50341916	48406430	48931769
40	1000	300	50483057	48547089	49024435
41	1000	300	50530107	48519066	49068196
42	1000	300	50395989	48518634	49085466
43	1000	300	50570919	48494790	48909692
44	1000	300	50464724	48522964	49029819
45	1000	300	50473147	48456765	48933064
46	1000	300	50710900	48518984	48922065
47	1000	300	50460972	48545034	48983599
48	1000	300	50386840	48539331	48855713
49	1000	300	50377920	48558535	49051584
50	1000	300	50467701	48421851	48928637
51	1000	300	50421094	48496751	48912465
52	1000	300	50616042	48608871	48990339
53	1000	300	50278387	48481147	48857537
54	1000	300	50429272	48493198	48862575
55	1000	300	50475176	48506393	48881354
56	1000	300	50474985	48490271	48859122
57	1000	300	50740114	48503402	48976427
58	1000	300	50460176	48488083	48969193
59	1000	300	50357082	48397423	48764710
60	1000	300	50491570	48578422	48987296
61	1000	300	50538188	48430994	48848957
62	1000	300	50756611	48501268	48847043
63	1000	300	50533766	48474043	48849068
64	1000	300	50498189	48526544	48965534
