inst	m	l	greedy	grasp	ag	hibrida
37	1000	500	140066618	134615597	138193704	139544287
38	1000	500	140139457	134532459	138064086	139704307
39	1000	500	140119772	134890287	137963234	139392462
40	1000	500	140005042	134737807	138047730	139538781
41	1000	500	140176155	134585581	138173738	139601538
42	1000	500	140045856	134440458	138000482	139436226
43	1000	500	140190844	134675288	137898305	139580827
44	1000	500	139773738	134535181	138059307	139486513
45	1000	500	140031896	134795186	138077896	139641608
46	1000	500	139982714	134660594	137828785	139342216
47	1000	500	140339731	134466055	137749130	139513158
48	1000	500	140206916	134667629	137993337	139576890
49	1000	500	140164537	134846478	138147714	139652024
50	1000	500	140190483	134367298	137959634	139463942
51	1000	500	139946044	134622731	137749990	139487380
52	1000	500	140042251	134633539	137771457	139570726
53	1000	500	139910301	134510022	137624587	139413374
54	1000	500	139837468	134655226	137859698	139860469
55	1000	500	140086917	134606046	137887562	139580497
56	1000	500	140487542	134492624	137812192	139619093
57	1000	500	140380740	134686242	137833673	139658676
58	1000	500	140000377	134734692	137984334	139657146
59	1000	500	139951968	134692882	138086642	139738671
60	1000	500	140264358	134628169	138018371	139472191
61	1000	500	140129962	134503969	137955988	139634079
62	1000	500	140015466	134573880	138094716	139495976
63	1000	500	139654055	134623594	137912379	139548340
64	1000	500	140098734	134889108	137995911	139458813
65	1000	500	140296107	134693863	137765785	139622330
66	1000	500	140121843	134588302	138029250	139681382
67	1000	500	140157985	134569801	138020534	139763118
68	1000	500	140258700	134741765	137792255	139574167
69	1000	500	140591529	134587082	137835315	139749849
70	1000	500	140224298	134572359	137873097	139969536
71	1000	500	140157786	134592343	137833209	139585553
72	1000	500	139859712	134685097	137904732	139504696
73	1000	500	140182648	134527505	137881676	139460525
74	1000	500	139905792	134786637	137922818	139585642
75	1000	500	140304340	134694698	137806252	139740353
76	1000	500	139736542	134310141	137958417	139413113
77	1000	500	140131521	134647278	137816536	139806932
78	1000	500	139943402	134660799	137953754	139459157
79	1000	500	139976875	134383034	137862033	139391582
80	1000	500	139969463	134488470	138020298	139721360
81	1000	500	140359939	134886251	137984075	139497223
82	1000	500	139876544	134706177	137823590	139504455
83	1000	500	139946676	134646453	137995285	139331656
84	1000	500	140123172	134490126	137885368	139638631
85	1000	500	139591595	134660371	137827198	139428078
86	1000	500	140425805	134491682	137901948	139426151
87	1000	500	140004338	134539375	137859713	139502395
88	1000	500	140023388	135014295	137800648	139525156
89	1000	500	140334761	134544195	137872118	139776919
90	1000	500	140171286	134685784	137837070	139464610
91	1000	500	140440295	134679473	137740042	139624136
92	1000	500	140271347	134431770	137848596	139526745
93	1000	500	140093987	134795482	138096127	139476073
94	1000	500	140050254	134733942	138024323	139660276
95	1000	500	140168176	134481833	137810603	139478356
96	1000	500	140249408	134772158	137850044	139709560
97	1000	500	139821109	134622467	137933398	139599198
98	1000	500	140299196	134384810	137932610	139460931
99	1000	500	139814101	134508747	137689247	139701861
