inst	m	l	greedy	grasp	ag	hibrida
62	500	100	2823050	2648646	2648643	2695936
63	500	100	2807736	2647568	2647568	2696951
64	500	100	2780591	2654242	2654242	2678837
65	500	100	2813095	2647562	2647556	2697817
66	500	100	2778039	2645958	2645934	2666413
67	500	100	2823758	2650847	2650844	2685993
68	500	100	2801089	2636456	2636327	2671832
69	500	100	2799383	2643610	2643610	2673222
70	500	100	2812349	2649305	2649305	2689517
71	500	100	2816743	2635668	2635668	2673067
72	500	100	2786727	2650518	2650500	2674207
73	500	100	2809456	2655919	2655900	2685013
74	500	100	2806157	2646782	2646782	2722091
75	500	100	2809166	2645723	2645723	2681372
76	500	100	2830144	2647254	2647254	2677179
77	500	100	2811664	2644966	2644966	2695515
78	500	100	2783303	2647854	2647854	2680404
79	500	100	2797023	2651889	2651848	2671101
80	500	100	2781678	2644849	2644775	2705586
81	500	100	2803898	2659327	2659327	2698966
82	500	100	2812832	2662917	2662917	2694988
83	500	100	2795805	2663013	2663013	2679395
84	500	100	2787036	2643804	2643804	2710051
85	500	100	2827470	2647951	2647951	2696010
86	500	100	2797861	2651969	2651969	2732598
87	500	100	2824542	2657243	2657168	2689010
88	500	100	2797196	2642060	2642060	2695154
89	500	100	2818927	2672589	2672584	2689179
90	500	100	2820627	2656634	2656634	2706645
91	500	100	2794401	2659859	2659849	2705179
92	500	100	2800757	2656828	2656829	2701938
93	500	100	2814633	2653572	2653543	2695927
94	500	100	2773404	2643832	2643836	2682666
95	500	100	2805768	2651501	2651501	2675634
96	500	100	2812457	2647525	2647525	2706383
97	500	100	2809599	2659243	2659243	2688913
98	500	100	2805034	2660011	2660011	2692253
99	500	100	2794314	2654298	2654258	2700189
0	1000	100	5641367	5420071	5420050	5525839
1	1000	100	5579008	5397844	5397786	5479380
2	1000	100	5591678	5381389	5381389	5472759
3	1000	100	5565367	5394349	5394349	5542485
4	1000	100	5625059	5380786	5380786	5542498
5	1000	100	5634630	5410133	5410133	5517711
6	1000	100	5608404	5381011	5381011	5468570
7	1000	100	5570845	5401281	5401281	5466694
8	1000	100	5619752	5405473	5405473	5473509
9	1000	100	5633353	5412807	5412737	5493021
10	1000	100	5663612	5397454	5397324	5468693
11	1000	100	5616079	5394958	5394958	5466416
12	1000	100	5600642	5404663	5404663	5479423
13	1000	100	5630568	5408723	5408723	5469149
14	1000	100	5629481	5374849	5374849	5472467
15	1000	100	5604331	5394251	5394251	5481645
16	1000	100	5621889	5405892	5405875	5548378
17	1000	100	5609056	5406332	5406332	5488369
18	1000	100	5633673	5407950	5407950	5506382
19	1000	100	5611068	5364998	5365017	5468496
20	1000	100	5596909	5409599	5409599	5475152
21	1000	100	5635927	5394165	5394165	5474055
22	1000	100	5600768	5401305	5401305	5478649
23	1000	100	5636445	5395071	5395071	5478574
24	1000	100	5626129	5398349	5398252	5468724
25	1000	100	5602873	5392396	5392396	5484034
26	1000	100	5597501	5404784	5404784	5493067
27	1000	100	5646487	5407345	5407345	5470909
28	1000	100	5605901	5393044	5393044	5478500
29	1000	100	5642648	5379689	5379689	5504998
30	1000	100	5642315	5385312	5385523	5482755
31	1000	100	5642766	5388785	5388785	5473136
32	1000	100	5634788	5417878	5417870	5500272
33	1000	100	5644252	5419580	5419498	5487492
34	1000	100	5657964	5398305	5398251	5505629
35	1000	100	5624680	5388866	5388866	5489908
36	1000	100	5564634	5384094	5384094	5532910
37	1000	100	5669522	5401600	5401470	5480764
38	1000	100	5636805	5410612	5410612	5474786
39	1000	100	5586844	5384550	5384550	5478911
40	1000	100	5619310	5411610	5411586	5507614
41	1000	100	5608383	5393282	5393282	5499628
42	1000	100	5603966	5393537	5393537	5461542
43	1000	100	5610655	5406659	5406482	5465152
44	1000	100	5590286	5416957	5416957	5502803
45	1000	100	5656179	5408455	5408455	5483358
46	1000	100	5610778	5393719	5393592	5481865
47	1000	100	5598255	5393224	5393224	5456076
48	1000	100	5604449	5405250	5405250	5483830
49	1000	100	5667841	5396135	5396135	5483957
50	1000	100	5602483	5409315	5409219	5469124
51	1000	100	5618930	5391095	5391095	5467144
52	1000	100	5613203	5389902	5389902	5468776
53	1000	100	5643181	5412332	5412300	5513537
54	1000	100	5635124	5414573	5414556	5468599
55	1000	100	5641978	5387400	5387316	5493614
56	1000	100	5567902	5382418	5382397	5482888
57	1000	100	5636818	5383012	5383012	5493432
58	1000	100	5614193	5398516	5398516	5519743
59	1000	100	5612921	5405150	5405080	5469862
60	1000	100	5628783	5392634	5392634	5466948
61	1000	100	5633340	5404925	5404925	5535305
62	1000	100	5649904	5406326	5406326	5470829
63	1000	100	5644190	5382189	5382189	5475843
64	1000	100	5631143	5424173	5424113	5514257
65	1000	100	5632012	5409666	5409666	5493274
66	1000	100	5601192	5413805	5413805	5489856
67	1000	100	5631165	5419361	5419360	5517805
68	1000	100	5619100	5428715	5428705	5501284
69	1000	100	5644835	5398908	5398908	5474671
70	1000	100	5610018	5399349	5399349	5472802
71	1000	100	5626772	5399840	5399840	5488466
72	1000	100	5632971	5378299	5378299	5452258
73	1000	100	5631873	5405928	5405913	5471869
74	1000	100	5599072	5411351	5411316	5476990
75	1000	100	5609876	5413510	5413457	5474711
76	1000	100	5616623	5402686	5402686	5493766
77	1000	100	5617714	5405812	5405762	5479230
78	1000	100	5617129	5395628	5395560	5505077
79	1000	100	5648069	5423394	5423394	5489868
80	1000	100	5587591	5380126	5380086	5475109
81	1000	100	5636067	5413671	5413671	5480391
82	1000	100	5629972	5391265	5391265	5468617
83	1000	100	5632089	5394682	5394613	5472710
84	1000	100	5629450	5397736	5397736	5517744
85	1000	100	5644002	5390412	5390412	5468281
86	1000	100	5602557	5375314	5375315	5450096
87	1000	100	5597603	5390626	5390626	5489049
88	1000	100	5648995	5390888	5390859	5475641
89	1000	100	5623285	5403094	5403094	5482597
90	1000	100	5587348	5395409	5395409	5490941
91	1000	100	5617464	5404461	5404461	5487674
92	1000	100	5629371	5420426	5420426	5489038
93	1000	100	5622677	5399198	5399032	5469192
94	1000	100	5636132	5367442	5367370	5470162
95	1000	100	5597986	5415655	5415655	5532843
96	1000	100	5611500	5408727	5408727	5532158
97	1000	100	5595271	5390807	5390807	5505214
98	1000	100	5584914	5409726	5409726	5497879
99	1000	100	5632410	5400130	5400089	5475835
0	500	300	25076030	23761025	23796071	24641951
1	500	300	25160356	23806458	23883185	24714586
2	500	300	25146737	23742315	23804040	24802993
3	500	300	25101552	23791772	23839946	24821815
4	500	300	25316222	23814961	23867379	24801964
5	500	300	25073651	23775734	23818319	24800837
6	500	300	25219646	23817502	23871122	24827416
7	500	300	25218325	23775160	23821905	24669651
8	500	300	25040001	23805241	23865776	24823980
9	500	300	25202428	23820485	23869426	24844852
10	500	300	25234536	23830211	23868776	24671944
11	500	300	25179792	23848554	23907892	24716202
12	500	300	25079296	23815658	23871366	24951524
13	500	300	25023541	23719580	23752916	24823697
14	500	300	25175864	23748158	23802222	24734865
15	500	300	25117893	23769914	23813411	24791671
16	500	300	25097215	23801344	23889626	24962494
17	500	300	25265161	23830548	23880301	24860868
18	500	300	25014061	23850251	23943564	24829431
19	500	300	25266754	23809011	23869447	24781386
20	500	300	25168726	23785425	23815801	24825255
21	500	300	25111380	23804826	23847440	24822435
22	500	300	25136399	23741195	23809763	24677649
23	500	300	25068347	23758721	23810570	24898707
24	500	300	25338315	23732138	23790587	24989435
25	500	300	25184573	23761432	23837657	24715725
26	500	300	25136265	23780919	23823988	24770295
27	500	300	25082320	23747769	23796212	24793125
28	500	300	25246350	23847184	23897242	24735283
29	500	300	25171428	23771286	23858571	24845760
30	500	300	25242318	23853070	23910874	24790308
31	500	300	25079845	23874191	23925313	24776256
32	500	300	25091354	23848427	23920842	24709015
33	500	300	25226197	23837912	23893907	24704588
34	500	300	25182071	23821749	23908099	24776568
35	500	300	25210572	23793263	23854755	24757600
36	500	300	25185537	23808763	23884159	24891918
37	500	300	25325930	23771229	23819086	24679909
38	500	300	25243399	23834750	23887085	24802609
39	500	300	25217708	23840090	23873525	24763424
40	500	300	25096015	23797651	23899659	24738213
41	500	300	25056149	23828647	23906301	24802421
42	500	300	25255855	23769813	23866326	24731046
43	500	300	25210264	23776521	23845299	24827418
44	500	300	25200808	23796684	23857236	24754024
45	500	300	25245912	23761025	23802189	24811003
46	500	300	25137844	23805785	23831255	24853757
47	500	300	25277509	23841414	23887703	24827856
48	500	300	25184164	23843097	23879981	24719703
49	500	300	25225009	23820714	23868560	24716396
50	500	300	25235550	23828078	23880369	24762762
51	500	300	25190377	23792795	23843750	24754640
52	500	300	25281141	23881364	23907757	24824204
53	500	300	25150434	23794126	23826119	24725336
54	500	300	25165089	23762560	23803967	24772131
55	500	300	25149748	23687987	23716876	24813065
56	500	300	25169844	23842509	23882855	25029575
57	500	300	25163272	23784309	23821014	24786836
58	500	300	25023515	23824562	23858750	24811216
59	500	300	25202234	23815152	23857104	24807891
60	500	300	25187969	23767380	23803433	24751283
61	500	300	25225420	23847377	23894494	24699014
62	500	300	25185736	23793401	23829058	24840740
63	500	300	25082659	23789568	23824648	24840333
64	500	300	25213228	23816253	23852084	24694889
65	500	300	25286876	23779251	23812659	24753916
66	500	300	25090501	23799115	23831146	24718532
67	500	300	25161174	23810294	23842924	24799086
68	500	300	25276914	23828677	23860844	24719671
69	500	300	25325118	23828236	23857663	24801639
70	500	300	25219145	23775290	23798178	24722231
71	500	300	25179645	23720198	23751510	24754463
72	500	300	25260437	23807569	23840497	24753646
73	500	300	25141130	23740623	23782244	24780894
74	500	300	25113045	23819688	23866573	24679529
75	500	300	25146173	23732564	23785256	24715379
76	500	300	25093853	23817978	23856968	24827117
77	500	300	25174143	23796162	23828625	24860844
78	500	300	25329313	23830848	23865244	24808745
79	500	300	25231729	23750066	23785540	24747409
80	500	300	25188783	23788009	23814862	24761936
81	500	300	25211106	23739930	23771683	24778201
82	500	300	25176967	23862139	23897008	24754622
83	500	300	25157488	23836586	23880741	24873331
84	500	300	25311781	23798585	23835129	24673421
85	500	300	25168580	23762463	23783471	24746859
86	500	300	25178696	23845597	23883741	24776240
87	500	300	25230545	23795788	23826113	24773533
88	500	300	25233066	23750891	23788115	24729173
89	500	300	25142570	23807102	23839285	24776579
90	500	300	25206871	23819002	23849857	24859585
91	500	300	25140123	23766200	23799711	24805537
92	500	300	25212657	23797983	23827664	24763515
93	500	300	25148364	23854114	23892169	24749406
94	500	300	25198136	23784438	23859120	24755038
95	500	300	25018975	23870298	23901673	24818141
96	500	300	25127007	23748189	23791845	24760731
97	500	300	25273896	23838675	23899089	24823003
98	500	300	25173256	23749065	23796977	24829115
99	500	300	25147514	23781572	23811483	24769429
0	1000	300	50485551	48451917	48901073	50130131
1	1000	300	50227353	48534624	49103629	50107416
2	1000	300	50311770	48487869	48988563	50109449
