inst    m   l   greedy  mh
0	200	15	25995	23608
1	200	15	24915	23734
2	200	15	26207	23285
3	200	15	24701	23345
4	200	15	25263	23320
5	200	15	26393	23909
6	200	15	25948	23469
7	200	15	26607	23570
8	200	15	25149	23457
9	200	15	25085	23547
10	200	15	26677	23818
11	200	15	27635	23391
12	200	15	24795	23442
13	200	15	24839	23203
14	200	15	25894	22976
15	200	15	25025	23371
16	200	15	25621	23097
17	200	15	25962	22918
18	200	15	25607	23360
19	200	15	26202	23560
20	200	15	26016	23769
21	200	15	25676	23691
22	200	15	25931	23453
23	200	15	26162	23701
24	200	15	25581	23562
25	200	15	25838	23392
26	200	15	25749	23754
27	200	15	24924	22822
28	200	15	26372	23149
29	200	15	25783	23901
30	200	15	25881	23756
31	200	15	25832	23889
32	200	15	25853	23243
33	200	15	26182	24051
34	200	15	25673	23766
35	200	15	26090	23059
36	200	15	26000	23851
37	200	15	26900	23754
38	200	15	25775	23628
39	200	15	25922	23549
40	200	15	25451	23216
41	200	15	26341	23832
42	200	15	25642	23487
43	200	15	25031	23580
44	200	15	25778	23294
45	200	15	25683	23157
46	200	15	25975	23335
47	200	15	25420	23221
48	200	15	26711	23444
49	200	15	26301	23554
50	200	15	25034	23339
51	200	15	25660	23554
52	200	15	25361	24131
53	200	15	26535	23604
54	200	15	25866	23242
55	200	15	25119	23550
56	200	15	25645	23542
57	200	15	25484	23949
58	200	15	25937	23495
59	200	15	26598	23518
60	200	15	25460	23388
61	200	15	24977	23540
62	200	15	26084	23246
63	200	15	26026	23539
64	200	15	25795	23635
65	200	15	26407	23772
66	200	15	25897	23986
67	200	15	25881	23436
68	200	15	26820	23622
69	200	15	25997	23303
70	200	15	26114	23601
71	200	15	25534	23630
72	200	15	25138	23421
73	200	15	25905	23330
74	200	15	26056	23342
75	200	15	25210	23475
76	200	15	25550	23549
77	200	15	25381	23277
78	200	15	25466	23679
79	200	15	26005	23317
80	200	15	26401	22919
81	200	15	25694	23448
82	200	15	26380	23778
83	200	15	26053	23790
84	200	15	24947	23436
85	200	15	24718	23267
86	200	15	25539	23554
87	200	15	25650	23222
88	200	15	26419	23026
89	200	15	26038	23909
90	200	15	25534	23429
91	200	15	25514	23936
92	200	15	25753	23224
93	200	15	26060	23498
94	200	15	25313	23506
95	200	15	26254	23544
96	200	15	25980	23391
97	200	15	25387	23743
98	200	15	25209	23274
99	200	15	25766	23483
0	500	100	2824056	2657900
1	500	100	2821374	2654778
2	500	100	2831234	2663842
